date,sp500,monthly_return,monthly_volatility,hist_var95,hist_var99,hist_es95,hist_es99,rolling_volatility,rolling_skewness,rolling_kurtosis,trading_days
2011-02-28,1327.219970703125,0.03195656372809341,0.11925555843816067,-0.017006651898326904,-0.03218453339006874,-0.025916372743283424,-0.035887226190520344,0.17315198949996807,-0.19618522436337976,2.5534341806540475,19
2011-03-31,1325.8299560546875,-0.0010473129391667113,0.16423227419433806,-0.017629106769411606,-0.03218453339006874,-0.026250524531299353,-0.035887226190520344,0.17840146105588067,-0.1655879795216419,2.0477057518997075,23
2011-04-30,1363.6099853515625,0.028495380666535786,0.08883425464204985,-0.017185698717362863,-0.03218453339006874,-0.02576242554252221,-0.035887226190520344,0.17515759408385936,-0.1360236163435716,2.302076977684046,20
2011-05-31,1345.199951171875,-0.013500952895222906,0.10813573608639385,-0.015927763798156924,-0.028906562812327955,-0.02187826973028252,-0.03192286071093005,0.15180476245297145,-0.20244322809328452,2.0536461113946394,21
2011-06-30,1320.6400146484375,-0.018257461652479767,0.16592535645838283,-0.014713197599983772,-0.021872155102745604,-0.0196978149139796,-0.026958180466450696,0.14128458260079785,-0.13926647994654534,1.3874911139629391,22
2011-07-31,1292.280029296875,-0.021474425306666434,0.15504879495606466,-0.015294923918173537,-0.020627720062741366,-0.019290304985520337,-0.024124612206352165,0.13647481690908592,-0.17036707891064623,0.9130149569019599,20
2011-08-31,1218.8900146484375,-0.05679110795232911,0.4718376410080885,-0.016899492856344574,-0.045383079960870015,-0.030117445331456348,-0.054526207789576724,0.18641076723484423,-1.0846268615811359,8.249453450723534,23
2011-09-30,1131.4200439453125,-0.07176198808089662,0.291213202380999,-0.020618740858214846,-0.045383079960870015,-0.03380948170681359,-0.054526207789576724,0.20087877522460668,-0.9474333424723219,5.8670316969208836,21
2011-10-31,1253.300048828125,0.10772303843744124,0.29346436347640786,-0.021871209284270696,-0.045383079960870015,-0.03475269853324532,-0.054526207789576724,0.21597145875903118,-0.7292976785026527,4.233894257281145,21
2011-11-30,1246.9599609375,-0.005058715107011502,0.31060977165110637,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.22834609172830275,-0.5987003851540611,3.4161156926582676,21
2011-12-31,1257.5999755859375,0.008532763666635912,0.1859841777013541,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.2335433719652264,-0.5185202436802414,2.941253472491763,21
2012-01-31,1312.4100341796875,0.04358306270498491,0.08549788746420013,-0.02515781265262724,-0.045383079960870015,-0.03610874194916568,-0.054526207789576724,0.23305688252635084,-0.52611982502742,2.9973761688155616,20
